name,clubCode,position,tierLabel,code,ffpl_pgw,ffpl_season,season_points,likely_starter,starts,penalties_order,direct_freekicks_order,corners_and_indirect_freekicks_order,status,flags
Castagne,FUL,DEF,2,166477.0,2.04,73.25,6.0,False,20.0,,,,a,
Reinildo,SUN,DEF,2,434399.0,2.02,72.56,1.0,False,23.0,,,,a,
Groß,BHA,MID,2,60307.0,2.01,72.44,2.0,False,18.0,1.0,1.0,1.0,a,PEN
Buendía,AVL,MID,1,195546.0,2.0,72.01,2.0,False,21.0,1.0,1.0,3.0,a,PEN
Georginio,BHA,FWD,2,463067.0,1.99,71.65,5.0,False,20.0,,,,d,DOUBT-75%
Eze,ARS,MID,1,232413.0,1.97,70.85,1.0,False,22.0,,3.0,,a,
Canvot,CRY,DEF,3,651426.0,1.92,69.24,1.0,False,14.0,,,,a,
Kudus,TOT,MID,3,460842.0,1.91,68.91,0.0,False,19.0,2.0,3.0,5.0,d,DOUBT-50%
Adams,BOU,MID,1,200785.0,1.9,68.54,1.0,False,21.0,,,,a,
Darlow,MUN,GK,1,59735.0,1.88,67.76,0.0,False,22.0,,,,a,"NEW-CLUB, GK-RISK"
J.Murphy,NEW,MID,2,114243.0,1.87,67.28,0.0,False,19.0,,,2.0,a,
Mitoma,BHA,MID,2,451340.0,1.86,66.94,0.0,False,19.0,,,,i,
P.M.Sarr,TOT,MID,3,482442.0,1.84,66.4,0.0,False,13.0,,,,i,
De Cuyper,BHA,DEF,2,465730.0,1.84,66.14,17.0,False,17.0,,4.0,2.0,a,
L.Miley,NEW,MID,2,547719.0,1.84,66.05,3.0,False,15.0,,,3.0,a,
Talbi,SUN,MID,2,549912.0,1.81,65.11,1.0,False,16.0,,,,a,
Danso,TOT,DEF,3,135720.0,1.8,64.83,0.0,False,17.0,,,,a,
Robinson,FUL,DEF,2,169528.0,1.8,64.63,1.0,False,17.0,2.0,,,a,
Wan-Bissaka,AVL,DEF,1,214590.0,1.8,64.63,0.0,False,23.0,,,,a,NEW-CLUB
Fofana,CHE,DEF,2,444463.0,1.79,64.32,0.0,False,20.0,,,,a,
Tel,TOT,MID,3,511499.0,1.77,63.56,2.0,False,13.0,,4.0,4.0,a,
Wilson,BRE,FWD,2,75115.0,1.76,63.31,1.0,False,11.0,,,,a,NEW-CLUB
Onana,AVL,MID,1,449871.0,1.74,62.66,0.0,False,21.0,,,,i,
Nmecha,LEE,FWD,2,174594.0,1.72,62.08,0.0,False,10.0,2.0,,,a,
Aina,NFO,DEF,3,159506.0,1.72,61.8,5.0,False,18.0,,,,a,
Tielemans,MUN,MID,1,166989.0,1.71,61.72,2.0,False,21.0,3.0,,,a,NEW-CLUB
Henderson,CHE,MID,2,56979.0,1.69,60.77,0.0,False,22.0,,,,d,"NEW-CLUB, DOUBT-75%"
Janelt,BRE,MID,2,204580.0,1.68,60.41,9.0,False,15.0,,,4.0,a,
Johnson,EVE,MID,2,242898.0,1.67,60.06,1.0,False,19.0,,,,a,NEW-CLUB
Gray,TOT,MID,3,547701.0,1.65,59.37,2.0,False,18.0,,,,a,
Tanaka,LEE,MID,2,248056.0,1.63,58.73,0.0,False,14.0,,,4.0,a,
Yoro,MUN,DEF,1,550864.0,1.63,58.65,0.0,False,18.0,,,,a,
J.Ramsey,NEW,MID,2,232653.0,1.61,57.84,0.0,False,15.0,,,,a,
Grealish,MCI,MID,1,114283.0,1.6,57.49,1.0,False,18.0,,,,a,NEW-CLUB
Maguire,MUN,DEF,1,95658.0,1.58,57.05,1.0,False,19.0,,,,a,
Morato,NFO,DEF,3,485047.0,1.58,57.03,0.0,False,14.0,,,,a,
Diarra,SUN,MID,2,547027.0,1.58,56.69,1.0,False,15.0,1.0,,,a,PEN
Isidor,SUN,FWD,2,437505.0,1.57,56.64,1.0,False,11.0,,,,a,
Iroegbunam,EVE,MID,2,490094.0,1.54,55.55,0.0,False,17.0,,,,i,
Maatsen,AVL,DEF,1,441302.0,1.49,53.8,0.0,False,17.0,,,,a,
Hughes,CRY,MID,3,108413.0,1.48,53.09,0.0,False,19.0,,,3.0,a,
Pau,AVL,DEF,1,244954.0,1.48,53.1,0.0,False,18.0,,,,a,
Tchaouna,COV,MID,3,469272.0,1.47,52.9,2.0,False,14.0,,,,a,NEW-CLUB
Khusanov,MCI,DEF,1,578153.0,1.46,52.6,2.0,False,15.0,,,,a,
Brooks,BOU,MID,1,111317.0,1.46,52.39,0.0,False,13.0,,3.0,4.0,a,
Mainoo,MUN,MID,1,516895.0,1.44,51.7,1.0,False,16.0,,,,a,
King,FUL,MID,2,577725.0,1.42,51.05,7.0,False,15.0,,,,a,
Dorgu,MUN,MID,1,596777.0,1.42,50.98,0.0,False,15.0,,,,a,
Dominguez,NFO,MID,3,250199.0,1.41,50.77,0.0,False,17.0,,,,a,
Livramento,NEW,DEF,2,441191.0,1.39,50.06,0.0,False,14.0,,,,i,
Schär,NEW,DEF,2,119471.0,1.39,49.98,1.0,False,11.0,,2.0,,a,
Adli,BOU,MID,1,489888.0,1.38,49.74,0.0,False,10.0,,,,i,
N.Gonzalez,NEW,MID,2,465694.0,1.38,49.69,0.0,False,17.0,,,,a,MOVED-DEADLINE
Gruev,LEE,MID,2,486520.0,1.38,49.57,0.0,False,15.0,,,,i,
Baleba,MUN,MID,1,535301.0,1.37,49.34,0.0,False,23.0,,,,i,NEW-CLUB
Rayan,BOU,MID,1,499604.0,1.37,49.31,2.0,False,13.0,,,,a,
Osula,NEW,FWD,2,538207.0,1.37,49.3,4.0,False,8.0,2.0,,,i,
Gallagher,TOT,MID,3,232787.0,1.36,48.84,0.0,False,14.0,,,,a,
Longstaff,LEE,MID,2,180135.0,1.32,47.45,1.0,False,10.0,,2.0,3.0,a,
Ndoye,NFO,MID,3,456512.0,1.32,47.4,3.0,False,14.0,,,,a,
Diakité,BOU,DEF,1,242882.0,1.31,47.28,0.0,False,15.0,,,,a,
McNeil,CRY,MID,3,433154.0,1.31,47.22,2.0,False,14.0,,,,a,NEW-CLUB
Kamara,AVL,MID,1,226944.0,1.31,47.16,2.0,False,17.0,,,,a,
Garnacho,AVL,MID,1,493105.0,1.3,46.61,1.0,False,14.0,,,,a,NEW-CLUB
Robertson,TOT,DEF,3,122798.0,1.28,46.21,3.0,False,11.0,,,3.0,a,NEW-CLUB
Mings,AVL,DEF,1,149484.0,1.27,45.86,1.0,False,15.0,,,,a,
Solanke,TOT,FWD,3,154566.0,1.26,45.34,1.0,False,11.0,1.0,,,a,PEN
De Ligt,MUN,DEF,1,209365.0,1.23,44.43,0.0,False,13.0,,,,i,
Wood,NFO,FWD,3,60689.0,1.22,43.74,1.0,False,11.0,1.0,,,a,PEN
Udogie,TOT,DEF,3,487053.0,1.21,43.51,1.0,False,14.0,,,,a,
Henry,BRE,DEF,2,194010.0,1.2,43.25,0.0,False,14.0,,,,a,
Merino,ARS,MID,1,195384.0,1.2,43.02,1.0,False,10.0,,,,a,
Odobert,TOT,MID,3,550839.0,1.19,42.83,0.0,False,10.0,,,,i,
Madueke,ARS,MID,1,248857.0,1.17,42.12,1.0,False,16.0,,,6.0,a,
Muniz,FUL,FWD,2,244042.0,1.16,41.63,1.0,False,10.0,,,,a,
Kevin,FUL,MID,2,560552.0,1.15,41.44,1.0,False,9.0,,,3.0,a,
Disasi,CRY,DEF,3,220362.0,1.13,40.57,0.0,False,14.0,,,,a,"NEW-CLUB, MOVED-DEADLINE"
Christie,BOU,MID,1,158499.0,1.12,40.27,0.0,False,9.0,,,6.0,a,
Bobb,FUL,MID,2,477555.0,1.11,39.9,2.0,False,11.0,,,2.0,a,
J.Cuenca,FUL,DEF,2,246301.0,1.1,39.4,3.0,False,11.0,,,,a,
Savona,NFO,DEF,3,500151.0,1.09,39.34,0.0,False,11.0,,,,i,
Mosquera,ARS,DEF,1,500040.0,1.09,39.35,6.0,False,9.0,,,,a,
Aït-Nouri,MCI,DEF,1,448514.0,1.08,39.01,0.0,False,12.0,,,,a,
Andrey Santos,MUN,MID,1,532605.0,1.08,38.93,2.0,False,13.0,,,,a,NEW-CLUB
Martinez,MUN,DEF,1,221820.0,1.08,38.88,0.0,False,13.0,,,,a,
Delap,NFO,FWD,3,463034.0,1.08,38.82,0.0,False,12.0,4.0,,,a,MOVED-DEADLINE
Guessand,CRY,MID,3,485337.0,1.07,38.62,1.0,False,9.0,,,,a,
Martinelli,ARS,MID,1,444145.0,1.06,38.27,0.0,False,11.0,,,,a,
Bergvall,TOT,MID,3,570526.0,1.05,37.92,1.0,False,11.0,,,,a,
Smith,BOU,DEF,1,54469.0,1.03,37.27,1.0,False,14.0,,,,a,
Willock,NEW,MID,2,200089.0,1.02,36.79,6.0,False,10.0,,,,a,
Sávio,TOT,MID,3,510281.0,1.0,35.9,0.0,False,7.0,,,,a,NEW-CLUB
Cook,BOU,MID,1,155408.0,0.99,35.76,3.0,False,8.0,,,5.0,a,
Mount,MUN,MID,1,184341.0,0.98,35.19,0.0,False,12.0,,3.0,,d,DOUBT-75%
Estêvão,CHE,MID,2,624773.0,0.97,35.02,1.0,False,12.0,3.0,,5.0,a,
Boscagli,BHA,DEF,2,204120.0,0.97,34.89,6.0,False,9.0,,,,a,
Hato,CHE,DEF,2,551210.0,0.96,34.76,1.0,False,12.0,,,,a,
Diop,IPS,DEF,3,219924.0,0.95,34.32,2.0,False,8.0,,,,a,NEW-CLUB
Mazraoui,MUN,DEF,1,230001.0,0.94,33.71,1.0,False,11.0,,,,a,
Mamardashvili,LIV,GK,1,449027.0,0.94,33.65,0.0,False,10.0,,,,a,GK-RISK
Barkley,AVL,MID,1,88894.0,0.93,33.45,2.0,False,7.0,,,4.0,a,
Devenny,CRY,MID,3,489706.0,0.92,33.19,0.0,False,7.0,3.0,2.0,,a,
Heaven,MUN,DEF,1,606745.0,0.9,32.39,1.0,False,11.0,,,,a,
Ugarte,MUN,MID,1,232112.0,0.87,31.44,0.0,False,8.0,,,,i,
Bradley,LIV,DEF,1,492777.0,0.85,30.62,0.0,False,12.0,,,,i,
Tosin,CHE,DEF,2,109646.0,0.85,30.58,0.0,False,8.0,,,,a,
Cairney,FUL,MID,2,76357.0,0.83,29.9,0.0,False,6.0,,,,i,
Rigg,SUN,MID,2,554197.0,0.83,29.85,1.0,False,11.0,,,,a,
Branthwaite,EVE,DEF,2,480455.0,0.81,29.13,6.0,False,7.0,,,,a,
Lindelöf,AVL,DEF,1,184667.0,0.79,28.3,-2.0,False,11.0,,,,a,
Röhl,EVE,MID,2,513466.0,0.78,28.19,3.0,False,6.0,,,,a,
Bogarde,AVL,MID,1,515597.0,0.75,27.03,1.0,False,11.0,,,,a,
Alcaraz,EVE,MID,2,502697.0,0.7,25.4,1.0,False,6.0,,,,a,
Adingra,SUN,MID,2,535818.0,0.7,25.38,0.0,False,9.0,,,,i,
Hickey,BRE,DEF,2,472713.0,0.68,24.66,1.0,False,8.0,,,,a,
Acheampong,CHE,DEF,2,577016.0,0.68,24.33,3.0,False,8.0,,,,a,
Yates,NFO,MID,3,204968.0,0.67,23.98,0.0,False,2.0,,,,a,
Zirkzee,MUN,FWD,1,458249.0,0.66,23.73,0.0,False,5.0,,,,a,
Kinsky,TOT,GK,3,485055.0,0.65,23.49,2.0,False,7.0,,,,a,
Lewis-Skelly,ARS,MID,1,499169.0,0.47,16.88,3.0,False,5.0,,,,a,
